語,發音,漢字、原文,中文意思
かんこう,0,観光,觀光
かんこう,0,刊行,出版
かんこう,0,慣行,慣例
かんこく,0,勧告,勸告
かんごふ,3,看護婦,護士
かんさい,0,関西,關西（日本地名）
かんさつ,0,観察,觀察
かんさん,0,換算,換算
かんじ,0,漢字,漢字
かんじ,0,感じ,感覺
かんし,0,監視,監視
がんじつ,0,元日,元旦、１月１日
かんしゃ,1,感謝,感恩
かんじゃ,0,患者,病患
かんしゅう,0,観衆,觀眾
かんしゅう,0,慣習,習慣
がんしょ,1,願書,請願書
かんしょう,0,鑑賞,鑑賞
かんしょう,0,干渉,干涉
かんじょう,0,感情,情感
かんじょう,3,勘定,結帳、計算
がんじょう,0,頑丈,健壯
かんしょく,0,感触,觸感
かんじる/ずる,0,感じる/感ずる,感覺
かんしん,0,感心,感恩的心
かんしん,0,関心,關心
かんじん,0,肝心、肝腎,心肝腎
かんする,3,関する,有關、關於
かんせい,0,完成,完成
かんせい,0,歓声,歡聲
かんぜい,0,関税,關稅
がんせき,1,岩石,岩石
かんせつ,0,間接,間接的
かんせん,0,感染,感染
かんせん,0,幹線,主要道路
かんぜん,0,完全,完全
かんそ,1,簡素,簡撲
かんそう,0,乾燥,乾燥
かんそう,0,感想,感想
かんそく,0,観測,觀測
かんたい,0,寒帯,寒帶
かんたん,0,簡単,簡單、不會難
かんちがい,3,勘違い,錯誤的
かんちょう,1,官庁,政府機關
かんづめ,3,缶詰,罐頭
かんてん,1,観点,觀點
かんでんち,3,乾電池,電池
かんど,1,感度,感度
かんとう,1,関東,關東（日本地名）
かんどう,0,感動,感動
かんとく,0,監督,監督
カンニング,0,cunning,作弊
かんねん,1,観念,觀念
がんねん,1,元年,元年、新年
かんぱい,0,乾杯,乾杯
がんばる,3,頑張る,努力
かんばん,0,看板,牌子、幌子
かんびょう,1,看病,照顧病人
かんぶ,1,幹部,幹部
かんぺき,0,完璧,完美、完全無缺
かんべん,1,勘弁,原諒
かんむり,3,冠,冠、頭冠
かんむりょう,1,感無量,敢無量
かんゆう,0,勧誘,誘惑
かんよ,1,関与,關聯
かんよう,0,慣用,慣用
かんよう,0,寛容,寬容
がんらい,1,元来,原本
かんらん,0,観覧,參觀
かんり,1,管理,管理
かんりょう,0,官僚,官僚、官吏
かんりょう,0,完了,完畢、結束、完成
かんれい,0,慣例,習慣
かんれき,0,還暦,花甲、60歳的別名
かんれん,0,関連,關聯
かんろく,0,貫禄,穩重的感覺
かんわ,0,漢和,漢和
かんわ,0,緩和,緩和
き,1,木,樹木
き,0,気,氣、慾望
き,,期,期、時期
き,,器,器
き,,機,機、（數飛機）架
きあつ,0,気圧,氣壓
ぎあん,0,議案,議案、草案
きいろ,0,黄色,黄色
きいろい,0,黄色い,黄色的
ぎいん,1,議員,議員
きえる,0,消える,消失
きおく,0,記憶,記憶
きおん,0,気温,氣溫
きかい,2,機械,機械
きかい,2,機会,機會
きかい,2,器械,器械、工具
きがい,1,危害,危害
ぎかい,1,議会,議會
きがえ,0,着替え,換衣服
きかく,0,企画,企画
きかく,0,規格,規格
きかざる,3,着飾る,打扮、盛裝
きがね,0,気兼ね,多心、客氣
きがる,0,気軽,輕鬆、爽快
きかん,2,期間,期間
きかん,1,機関,機關、機構
きかん,0,季刊,季刊
きかん,1,器官,器官
きかんしゃ,2,機関車,火車頭、機車
きき,1,危機,危機
ききとり,0,聞き取り,聽取
ききめ,0,効き目,效果
ききょう,0,帰京,返京
きぎょう,1,企業,企業
ぎきょく,0,戯曲,劇本
ききん,1,飢饉,飢荒
ききん,1,基金,基金
きく,0,聞く,聽
きく,0,効く,有效
きぐ,1,器具,器具
きげき,1,喜劇,喜劇
ぎけつ,0,議決,議決
きけん,0,危険,危險
きけん,0,棄権,棄權
きげん,0,機嫌,安否
きげん,1,期限,期限
きげん,1,起源,起源
きこう,0,気候,氣候
きこう,0,機構,機構
きごう,0,記号,記號
きこえる,0,聞こえる,聽得到、聽得見
きこん,0,既婚,已婚
きざ,1,気障,高傲
きさい,0,記載,記載
きざし,0,兆し,預兆
きざむ,0,刻む,雕刻
きし,2,岸,岸
きじ,1,生地,質地、素質
きじ,1,記事,消息
ぎし,1,技師,技師
ぎしき,1,儀式,儀式
きしつ,0,気質,氣質
きじつ,1,期日,日期、期限
ぎじどう,0,議事堂,國會議事堂、會議廳
きしむ,0,軋む,吱吱作響、發出摩擦聲
きしゃ,1,汽車,火車
きしゃ,1,記者,記者
きじゅつ,0,記述,記述
ぎじゅつ,1,技術,技術
きじゅん,0,基準、規準,基準、規範
きしょう,0,起床,起床
きしょう,0,気象,氣象
きず,0,傷,創傷
きすう,2,奇数,奇數
きずく,2,築く,建立
きずつく,3,傷付く,受傷
きずつける,4,傷付ける,弄傷
きせい,0,規制,規則
ぎせい,0,犠牲,犠牲
きせつ,1,季節,季節
きせる,0,着せる,穿上
きせん,0,汽船,輪船
きそ,1,基礎,基礎
きそう,2,競う,競爭、競賽
きぞう,0,寄贈,贈與
ぎぞう,0,偽造,假造
きそく,1,規則,規則
きぞく,1,貴族,貴族
きた,0,北,北方、北邊
ギター,0,guitar,吉他
きたい,0,期待,期待
きたい,0,気体,氣體
ぎだい,0,議題,討論題目
きたえる,3,鍛える,鍛鍊
きたく,0,帰宅,回家
きだて,0,気立て,性情、脾氣
きたない,3,汚い,不乾淨、骯髒
きたる,2,来る,到來
きち,1,基地,基地
きちっと,3,きちっと,好好地、整整齊齊、端正
きちょう,0,貴重,寶貴
ぎちょう,1,議長,議長、主席、主持人、司儀
きちょうめん,2,几帳面,周到、規規矩矩
きちんと,2,きちんと,整整齊齊、好好地、端正
きつい,0,きつい,厲害、苛刻、受不住、緊
きっかけ,0,きっかけ,開端
きっかり,3,きっかり,正好
きづく,2,気付く,發覺
きっさ,0,喫茶,喝茶
きっさてん,0,喫茶店,咖啡廳、茶館
ぎっしり,3,ぎっしり,滿滿的
きっちり,3,きっちり,正好、整
きって,0,切手,郵票
きっと,0,屹度,一定、必定
きっぱり,3,きっぱり,斷然、果斷、清楚
きっぷ,0,切符,(車)票、券
きてい,0,規定,規定
きてん,0,起点,起點
きどう,0,軌道,軌道
きにいる,0,気に入る,中意
きにゅう,0,記入,記上
きぬ,1,絹,絲織品
きねん,0,記念,紀念
きのう,0,昨日,昨天
きのう,1,機能,機能
ぎのう,1,技能,技術能力
きのどく,3,気の毒,可憐、令人難受
きはん,0,規範,規範
きばん,0,基盤,基礎、地基、基準
きびしい,0,厳しい,嚴厲的、嚴格的
きひん,0,気品,品格、氣度
きふ,1,寄付,捐贈
きふう,0,気風,風氣、氣質
きふく,0,起伏,起伏
きぶん,1,気分,心思、心情、氣氛
きぼ,1,規模,規模
きぼう,0,希望,希望
きほん,0,基本,基本
きまぐれ,4,気紛れ,心浮氣噪
きまじめ,2,生真面目,一本正經
きまつ,0,期末,期末
きまり,0,決まり,決定
きまりわるい,5,決まり悪い,難為情、磨不開
きまる,0,決まる,決定、確定
きみ,0,君,您
きみ,2,気味,心情、感觸
ぎみ,,気味,具有…傾向
きみょう,1,奇妙,奇怪
ぎむ,1,義務,義務
きめい,0,記名,記名、簽名
きめる,0,決める,決定
きもち,0,気持ち,心情、感受
きもの,0,着物,衣服、和服
ぎもん,0,疑問,疑問
きゃく,0,客,客人
きやく,0,規約,規章
ぎゃく,0,逆,逆
きゃくしょく,0,脚色,改寫成電影或戲劇、誇張
きゃくせき,0,客席,客人座席
ぎゃくてん,0,逆転,逆轉
きゃくほん,0,脚本,劇本
きゃくま,0,客間,客廳
きゃしゃ,0,華奢,苗條、別緻
きゃっかん,0,客観,客觀
キャッチ,1,catch,抓住、接球
キャプテン,1,captain,隊長、船長
キャリア,1,career,職業、履歷、高階公務員
ギャング,1,gang,黑社會、暴力集團
キャンパス,1,campus,校園
キャンプ,1,camp,野營、基地
きゅう,1,九,九
きゅう,0,急（に）,急、急迫
きゅう,1,球,球
きゅう,1,旧,舊
きゅう,1,級,等級、級
きゅうえん,0,救援,救援
きゅうか,0,休暇,休假
きゅうがく,0,休学,休學
きゅうぎょう,0,休業,停止營業
きゅうきょく,0,究極,畢竟、究竟、最終
きゅうくつ,1,窮屈,窄小、不靈活
きゅうけい,0,休憩,休息
きゅうげき,0,急激,急遽
きゅうこう,0,急行,急往、快車
きゅうこう,0,休講,停課
きゅうこん,0,求婚,求婚
きゅうこん,0,球根,球根
きゅうさい,0,救済,救濟
きゅうじ,1,給仕,伺待吃飯的人、工友
きゅうしゅう,0,吸収,吸收
きゅうじょ,1,救助,拯救
きゅうしょく,0,給食,供給伙食
きゅうせん,0,休戦,停戰
きゅうそく,0,休息,休息
きゅうそく,0,急速,迅速
きゅうち,1,旧知,老友、舊交
きゅうでん,0,宮殿,宮殿
きゅうに,0,急に,突然、忽然、猛然
ぎゅうにく,0,牛肉,牛肉
ぎゅうにゅう,0,牛乳,牛奶
きゅうぼう,0,窮乏,貧窮、貧困
きゅうよ,1,給与,供給、供應、支給
きゅうよう,0,休養,休養
きゅうりょう,1,給料,工資、薪水
きゅうりょう,0,丘陵,丘陵
きよ,1,寄与,寄與、貢獻
きよい,2,清い,清澈的、潔白、舒暢
きょう,1,今日,今天、本日
きょう,,教,教
きょう,1,強,強
きょう,,橋,橋
きよう,1,器用,靈巧
ぎょう,,行,行、行數
ぎょう,,業,業、職業
きょうい,1,驚異,驚異、驚奇
きょういく,0,教育,教育
きょういん,0,教員,教員、教師
きょうか,0,強化,強化
きょうか,1,教科,課程
きょうかい,0,教会,教會
きょうかい,0,境界,地界、彊界
きょうかい,0,協会,協會
きょうがく,0,共学,(男女)同校
きょうかしょ,3,教科書,教科書、課本
きょうかん,0,共感,同感
きょうぎ,1,競技,體育競賽
きょうぎ,1,協議,協議、協商
ぎょうぎ,0,行儀,禮節
きょうきゅう,0,供給,供應
きょうぐう,0,境遇,處境
きょうくん,0,教訓,教訓、訓誡
きょうこう,0,強行,強制實行
きょうこう,0,強硬,強硬
きょうざい,0,教材,教材
きょうさく,0,凶作,荒年、凶年
きょうさん,0,共産,共產
きょうし,1,教師,教師、老師
ぎょうじ,1,行事,活動、儀式、事件
きょうしつ,0,教室,教室
ぎょうしゃ,1,業者,業者
きょうじゅ,,教授,教授
きょうじゅ,1,享受,享受
きょうしゅう,0,教習,培訓、訓練
きょうしゅう,0,郷愁,故鄉
きょうしゅく,0,恐縮,惶恐、不敢當
きょうしょく,0,教職,教育者的職務
きょうじる．ずる,0,興じる．興ずる,興高采烈、興緻勃勃
きょうせい,0,強制,強迫
ぎょうせい,0,行政,行政
ぎょうせき,0,業績,業績
きょうそう（する）,0,競争（する）,競爭
きょうぞん,0,共存,共存、共處
きょうだい,1,兄弟,兄弟
きょうち,1,境地,境地
きょうちょう,0,強調,強調
きょうちょう,0,協調,協調、協助
きょうつう,0,共通,共通
きょうてい,0,協定,協定
きょうど,1,郷土,鄉土、故鄉
きょうどう,0,共同,共同
きょうはく,0,脅迫,強迫、威脅
きょうふ,1,恐怖,恐怖不安、懼怕
きょうみ,1,興味,興趣
ぎょうむ,1,業務,業務、日常工作
きょうめい,0,共鳴,共嗚、共振
きょうよう,0,教養,教養
きょうり,1,郷里,鄉里、故鄉
きょうりょく,0,強力,強有力
きょうりょく,0,協力,協助、合作
きょうれつ,0,強烈,強烈
ぎょうれつ,0,行列,行列、隊伍
きょうわ,0,共和,共和
きょか,1,許可,允許、批准
ぎょぎょう,1,漁業,漁業
きょく,1,局,局、當局
きょく,0,曲,曲子、歌曲
きょくげん,0,局限,局限、限制
きょくせん,0,曲線,曲線
きょくたん,3,極端,頂端、極端
きょじゅう,0,居住,居住、住所
きょぜつ,0,拒絶,拒絕
ぎょせん,0,漁船,漁船、漁輪
ぎょそん,0,漁村,漁村
きょだい,0,巨大,巨大
きょねん,1,去年,去年
きょひ,1,拒否,拒絕、否決
きょよう,0,許容,容許、寬容
きよらか,2,清らか,清澈
きょり,1,距離,距離
きらい,0,嫌い,不喜歡
きらう,0,嫌う,嫌惡
きらく,0,気楽,輕鬆、安樂
きらびやか,3,煌びやか,華麗
きり,0,霧,霧
きり,2,切,段落、限度
きり,,きり,表示只限於此
ぎり,2,義理,情理、人情
きりかえる,0,切替える,切換、轉換
きりつ,0,規律,紀律、規律
きりゅう,0,気流,氣流
きる,1,切る、斬る,斬、完結、完了
きる,0,着る,穿（上衣）
きる,,きる,完成、完結
きれ,2,布,布料
きれ,,切,切片
きれい,1,綺麗,漂亮、美麗
きれめ,3,切れ目,裂縫
きれる,2,切れる,斷、中斷、到期、用盡、能幹
キロ,0,kilo,千…
キロ（グラム）,,kilogramme,公斤
キロ（メートル）,,kilomètre,公里
きろく,0,記録,記錄
ぎろん,1,議論,議論
ぎわく,0,疑惑,疑惑
きわめて,2,極めて,非常
きをつける,4,気を付ける,注意、小心
きん,1,金,金、金色、金錢
きん,1,菌,細菌
ぎん,1,銀,銀、銀色
きんえん,0,禁煙,禁止吸煙、戒烟
きんがく,0,金額,金額
きんがん,0,近眼,近視眼
きんきゅう,0,緊急,緊急
きんぎょ,1,金魚,金魚
きんこ,1,金庫,金庫、國庫
きんこう,0,均衡,均衡
きんこう,0,近郊,近郊
ぎんこう,0,銀行,銀行
きんし,0,禁止,禁止
きんし,0,近視,近視
きんじょ,1,近所,近處、附近
きんじる/ずる,0,禁じる/禁ずる,禁止
きんせん,1,金銭,金錢
きんぞく,1,金属,金屬
きんだい,1,近代,近代
きんちょう,0,緊張,緊張
きんにく,1,筋肉,肌肉
きんべん,0,勤勉,勤奮、勤勉
ぎんみ,1,吟味,仔細審查、品味
きんむ,1,勤務,工作
きんもつ,0,禁物,忌諱
きんゆう,0,金融,金融
きんよう/きん,,金曜/金,星期五
きんようび,3,金曜日,星期五
きんろう,0,勤労,辛勞
く,,区,大城市的區
く,1,句,句
く,1,苦,苦痛、苦
く,1,九,９個、９
ぐあい,0,具合,情況、狀態
くいき,1,区域,區域
クイズ,1,quiz,猜謎、提問、問題
くいちがう,4,食い違う,有所不同
くう,1,空,空、空中
くう,1,食う,〔卑語〕吃
くうかん,0,空間,空間
くうき,1,空気,空氣
くうこう,0,空港,機場
ぐうすう,3,偶数,偶數
ぐうぜん,0,偶然,偶然
くうそう,0,空想,幻想
くうちゅう,0,空中,空中
くうふく,0,空腹,空腹
クーラー,1,cooler,冷氣設備、冷卻器、攜帶式冷藏櫃
くかく,0,区画,區劃
くかん,1,区間,區間、路段
くき,2,茎,莖
くぎ,0,釘,釘子
くぎり,3,区切り,(小)段落
くぎる,2,区切る,分成段落、隔開
くぐる,2,潜る,鑽過
くさ,2,草,草
くさい,2,臭い,臭
くさり,0,鎖,鏈子
くさる,2,腐る,腐爛
くし,2,櫛,梳子
くじ,1,籤「〜を引く」,籤
くじびき,0,籤引き,抽籤
くしゃみ,2,くしゃみ,噴嚏
くじょう,0,苦情,抱怨
くしん,1,苦心,苦心、費心
くず,1,屑,碎片
くすぐったい,0,擽ったい,發癢
くずす,2,崩す,拆毀
くすり,0,薬,藥
くすりゆび,3,薬指,無名指
くずれる,3,崩れる,崩潰
くせ,2,癖,習慣
くだ,1,管,管子
ぐたい,0,具体,具體
くだく,2,砕く,打碎
くだける,3,砕ける,粉碎
ください,3,下さい,請
くださる,3,下さる,給我、送我
くたびれる,4,草臥れる,疲勞
くだもの,2,果物,水果
くだらない,0,下らない,無意義、無聊
くだり,0,下り,下
くだる,0,下る,下去
くち,0,口,嘴
くち,,口,份額
ぐち,0,愚痴,牢騷
くちずさむ,4,口ずさむ,吟
くちばし,0,嘴,鳥類的嘴
くちびる,0,唇,嘴唇
くちべに,0,口紅,口紅
くちる,2,朽ちる,腐壞
くつ,2,靴,鞋
くつう,0,苦痛,痛苦
くつがえす,3,覆す,打翻
くっきり,3,くっきり,顯眼、清晰
くつした,2,靴下,襪子
ぐっすり,3,ぐっすり,熟睡
くっせつ,0,屈折,曲折
くっつく,3,くっ付く,緊貼在一起
くっつける,4,くっ付ける,把…黏上
ぐっと,0,ぐっと,用力地、緊緊地、頓時
くどい,2,諄い,囉唆、過濃
くとうてん,2,句読点,句號和逗號
くに,0,国,國家
くばる,2,配る,分配
くび,0,首,脖子
くびかざり,3,首飾り,項鍊
くびわ,0,首輪,項圈
くふう,0,工夫,想辦法
くぶん,1,区分,分開
くべつ,1,区別,差異
くみ,2,組,班、套
くみあい,0,組合,組合
くみあわせ,0,組み合わせ,組成
くみあわせる,5,組み合わせる,編在一起
くみこむ,3,組み込む,編入
くみたてる,0,組み立てる,組裝、組合
くむ,0,汲む/酌む,汲、斟、打水
くむ,1,組む,聯合
くも,1,雲,雲朵
くもり,3,曇,陰天
くもる,2,曇る,天陰
くやしい,3,悔しい,悔恨的、遺憾的
くやむ,2,悔やむ,後悔
くら,2,蔵,倉庫
くらい,0,暗い,昏暗
くらい,0,位,身分、地位
くらい/ぐらい,,位,左右
くらし,0,暮らし,生活、生計
クラシック,2,classic,古典的、古典音樂
クラス,1,class,班級、等級
くらす,0,暮らす,生活
グラス,0,glass/grass,玻璃杯
グラフ,0,graph,圖表
くらべる,4,比べる,比較
グラム,1,gramme,公克
グランド,0,ground/grand,操場/偉大、宏大
クリーニング,2,cleaning,洗滌、乾洗
クリーム,2,cream,(鮮)奶油、美容霜
くりかえす,0,繰り返す,重複、反覆
クリスマス,3,Christmas,聖誕節
くる,1,来る,來
くるう,2,狂う,瘋狂
グループ,2,group,團體
くるしい,3,苦しい,痛苦的
くるしむ,3,苦しむ,痛苦、苦惱
くるしめる,4,苦しめる,使…痛苦
くるま,0,車,汽車、車
くるむ,2,包む,包、裹
くれ,0,暮れ,歳末、季末、黃昏
グレー,2,gray,灰色、灰暗
クレーン,2,crane,起重機
くれぐれも,2,呉々も,千萬、務必、再三叮嚀
くれる,0,暮れる,天黑、日落
くれる,0,呉れる,給己方、給我
くろ,1,黒,黑色
くろい,2,黒い,黑色的、黑的
くろう,1,苦労,辛苦
くろうと,1,玄人,內行人、行家、專家
くろじ,0,黒字,盈餘
くわえる,0,加える,加上、添
くわえる,0,咥える,叼、啣
くわしい,3,詳しい,詳細的
くわわる,0,加わる,增加、加入
くん,,君,君、小
くん,0,訓,訓（字義的解釋）
ぐん,1,軍,軍隊
ぐん,1,郡,郡（日本行政區）
ぐん,1,群,群、伙
ぐんかん,0,軍艦,軍艦
ぐんじ,1,軍事,軍事
くんしゅ,1,君主,君主(制)
ぐんしゅう,0,群集、群衆,群眾、聚集
ぐんたい,1,軍隊,軍隊
ぐんび,1,軍備,軍備
ぐんぷく,0,軍服,軍服
くんれん,1,訓練,訓練
け,0,毛「髪の毛」,毛、頭髪
け,0,毛「毛のセーター」,毛(衣)
け,,家,家族
げ,1,下,劣等、次等
けい,1,計,合計、計畫
けい,,形、型,形、類型
けい,1,刑,刑罰
けい,,系,線索、派系
げい,1,芸,藝術、技術
けいい,1,敬意,敬意
けいい,1,経緯,經緯度
けいえい,0,経営,經營
けいか,0,経過,經過
けいかい,0,警戒,警戒
けいかい,0,軽快,輕快
けいかく（する）,0,計画（する）,計畫
けいかん,0,警官,警官
けいき,0,景気,景氣
けいき,1,契機,轉機、機會
けいき,1,計器,儀表、儀器
けいぐ,0,敬具,謹啟（書信末尾敬語）
けいげん,0,軽減,減輕
けいけん（する）,1,経験（する）,経験
けいこ,1,稽古,練習
けいご,0,敬語,敬語
けいこう,0,傾向,傾向、趨勢
けいこうとう,0,蛍光灯,螢光燈
けいこく,0,警告,警告
けいさい,0,掲載,登載
けいざい,1,経済,經濟、節省
けいさつ,0,警察,警察
けいさん,0,計算,計算
けいじ,0,掲示,揭曉、告示
けいじ,1,刑事,刑事、刑事警察
けいしき,0,形式,形式、樣式、手續
けいしゃ,0,傾斜,傾斜、斜坡、斜度
げいじゅつ,0,芸術,藝術
けいせい,0,形成,形成
けいせい,0,形勢,形勢、局勢
けいぞく,0,継続,繼續、繼承
けいそつ,0,軽率,輕率、草率
けいたい,0,形態,形態、形狀、樣子
けいたい,0,携帯,攜帶、手機
けいと,0,毛糸,毛線
けいど,1,経度,經度
けいとう,0,系統,系統、血統、黨派、體系
げいのう,0,芸能,技術、藝術、技能
けいば,0,競馬,賽馬
けいばつ,1,刑罰,刑罰
けいひ,1,経費,經費、開支
けいび,1,警備,警備、戒備
けいぶ,0,警部,警部（日本警察的官階之一）
けいべつ,0,軽蔑,蔑視、輕視
けいやく,0,契約,合同、契約
けいゆ,0,経由,經由、途經
けいようし,3,形容詞,形容詞、い形容詞
けいようどうし,5,形容動詞,形容動詞、な形容詞
けいれき,0,経歴,經歷、履歷、閱歷
けいろ,1,経路,通過的途徑、路徑、路線
ケーキ,1,cake,蛋糕
ケース,1,case「場合〜状況」,個案、事例、場合
ケース,1,case「箱」,箱、盒、包包
ゲーム,1,game,遊戲
げか,0,外科,外科
けが（する）,2,怪我（する）,受傷、過失
けがらわしい,5,汚らわしい,污穢的、討厭的
けがわ,0,毛皮,毛皮、皮貨
げき,1,劇,戲劇
げきじょう,0,劇場,劇場、戲院
げきぞう,0,激増,激增、猛增
げきだん,0,劇団,劇團
げきれい,0,激励,激勵
けさ,1,今朝,今天早上、今晨
けしき,1,景色,風景、景致
けしゴム,0,gom,橡皮擦
げしゃ,0,下車,下車
げしゅく（する）,0,下宿（する）,公寓、宿舍
げじゅん,0,下旬,下旬
けしょう,2,化粧,化妝、打扮
けす,0,消す,熄滅、關掉、抹去、關閉、解除
げすい,0,下水,髒水、下水道
ゲスト,1,guest,客人、嘉賓、客串演員
けずる,0,削る,削、消減、刪去
けた,0,桁,橫樑、位數
げた,0,下駄,木屐
けだもの,0,獣,獸、畜生
けち,1,吝,吝嗇、簡陋、卑賤、心胸窄
けつ,1,決,決定、決議
けつあつ,0,血圧,血壓
けつい,1,決意,決定
けつえき,2,血液,血液
けっか,0,結果,結果、結局、結果實
けっかく,0,結核,結核
けっかん,0,欠陥,缺陷、缺點
けっかん,0,血管,血管
けつぎ,0,決議,決議
げっきゅう,0,月給,月薪、工資
けっきょく,0,結局,結果、結局
けっこう,0,結構,3/1/1
けっこう,0,決行,決心、實行
けつごう,0,結合,結合
けっこん（する）,0,結婚（する）,結婚
けっさく,0,傑作,傑作
けっさん,1,決算,決算、清算
けっして,0,決して,決對不
げっしゃ,0,月謝,酬謝金、學費
けつじょ,1,欠如,缺乏
けっしょう,0,決勝,決賽、決勝負
けっしょう,0,結晶,結果、結晶
けっしん,1,決心,決心、決意
けっせい,0,結成,結成、組成
けっせき,0,欠席,缺席
けっそく,0,結束,捆、束、團結
げっそり,3,げっそり,驟然消瘦、掃興、厭膩
けつだん,0,決断,果斷、決心
けってい,0,決定,決定、確定
けってん,3,欠点,缺點、不及格的分數
げっぷ,0,月賦,按月付款
けつぼう,0,欠乏,缺乏
げつまつ,0,月末,月底
げつよう/げつ,,月曜/月,星期一
げつようび,3,月曜日,星期一
けつろん,0,結論,結論
けとばす,0,蹴飛ばす,踢飛、踢開
けなす,0,貶す,貶低、毀謗
けはい,1,気配,動靜、跡象、氛圍
げひん,2,下品,下流、庸俗
けむい,0,煙い,煙熏的、充滿煙味
けむたい,0,煙たい,令人不快的、討厭的（比喻）
けむり,0,煙,煙霧、茶色
けむる,0,煙る,冒煙、看不清楚、朦朧
けもの,0,獣,獸
けらい,1,家来,封建時代的家臣
げり,0,下痢,腹瀉
ける,1,蹴る,踢、拒絕
けれど/けれども,1,けれど/けれども,然而、但是
けわしい,3,険しい,險峻、可怕、險惡、困難、艱險
けん,1,県,縣
けん,,軒,棟、所
けん,1,券,券、票
けん,,権,權、權力
けん,1,件,事、事件、件數
けん,,圏,圏
げん,1,現,現、現在的
けんい,1,権威,權勢、威望、權威
げんいん,0,原因,原因
けんか（する）,0,喧嘩（する）,口角、爭吵、打架
けんかい,0,見解,意見
げんかい,0,限界,界限
けんがく,0,見学,見習、考察
げんかん,1,玄関,門口、房子的正門
げんき,1,元気,元氣、精力、精神
けんきゅう（する）,0,研究（する）,研究
けんきゅうしつ,3,研究室,研究室
けんきょ,1,謙虚,謙虛
けんぎょう,0,兼業,兼營
げんきん,3,現金,現款、貨幣、支票匯票、收現、付現、兌現
げんけい,0,原型/原形,原形、未進化原來的形態
けんげん,3,権限,權限
げんご,1,言語,言語
けんこう,0,健康,健康
げんこう,0,原稿,原稿
げんこう,0,現行,現行
けんさ,1,検査,檢查
けんざい,0,健在,健在、照常存在、現在時
げんざい,1,現在,現在、目前、當時、截至、現世
げんさく,0,原作,原著
げんさん,0,原産,原料、製品的產地
けんじ,1,検事,檢察官
げんし,1,原始,原始
げんし,1,原子,原子、原子彈
げんじつ,0,現実,現實
げんしゅ,1,元首,元首
けんしゅう,0,研修,進修
げんじゅう,0,厳重,嚴厲
げんしょ,0,原書,原版本、西洋書籍
けんしょう,0,懸賞,懸實
げんしょう,0,現象,現象
げんしょう,0,減少,減少、縮減
げんじょう,0,現状,現狀
けんせつ,0,建設,建設、創立
けんぜん,0,健全,健全、正常、堅實
げんそ,1,元素,元素
げんぞう,0,現像,顯像
げんそく,0,原則,原則
けんそん,0,謙遜,謙恭、謙遜
げんだい,1,現代,現代、當代
けんち,1,見地,觀點、立場、檢查建築用地
げんち,1,現地,現場、現居住的地方
けんちく,0,建築,建築
けんちょう,1,県庁,縣政府
げんてい,0,限定,限定
げんてん,0,減点,扣分
げんてん,1,原典,原著、原本
げんてん,1,原点,起點、座標的原點
げんど,1,限度,限度、範圍、界限
けんとう,0,検討,討論
けんとう,3,見当,猜測、判斷
げんに,1,現に,實際、現在、親眼
げんば,0,現場,現場
げんばく,0,原爆,原子彈
けんびきょう,0,顕微鏡,顯微鏡
けんぶつ（する）,0,見物（する）,觀光、遊覽
げんぶん,0,原文,原文
けんぽう,1,憲法,憲法
げんみつ,0,厳密,嚴密、嚴格
けんめい,0,懸命,拚命、竭盡全力
けんめい,0,賢明,賢明、明智、高明
けんやく,0,倹約,節約、節省
げんゆ,0,原油,原油
けんよう,0,兼用,兼用、兩用
けんり,1,権利,權利
げんり,1,原理,原理
げんりょう,3,原料,原料
けんりょく,1,権力,權力
げんろん,0,言論,言論
こ,,個,幾個
こ,0,子,小孩、兒女、子
こ,,湖,湖
ご,1,五,五、第五個
ご,,語,語
ご,1,碁,圍棋
ご,1,語,語言、語、單詞
ご,0,後,後、以後
こ,,小,小、微小、稍微、差不多
こ,1,故,已故的
ご,,御,表示尊敬、表示謙遜
こい,1,濃い,深、濃、烈、密稠、親密
こい,1,恋,戀愛、愛情
ごい,1,語彙,詞彙、語彙
こいしい,3,恋しい,親愛的、眷戀
こいする,3,恋する,戀愛
こいびと,0,恋人,情人
こう,0,こう,如此、這麼
こう,,校,校
こう,,港,港
こう,1,甲,鎧甲、甲殼、盔甲、表面、第一位、甲
こう,,光,光
ごう,,号,號
こう,1,高,高
こうい,1,好意,好意、善意
こうい,1,行為,行為、舉止
ごうい,1,合意,同意、達成協議
こういん,0,工員,工人
ごういん,0,強引,強行、強制
こううん,0,幸運,僥倖、幸運
こうえき,0,交易,交易、貿易
こうえん,0,公園,公園
こうえん,0,講演,講演、演說
こうえん,0,公演,公演
こうか,1,高価,高價
こうか,1,硬貨,硬幣
こうか,1,効果,效果、成績
ごうか,1,豪華,豪華
こうかい,0,公開,公開、開放
こうかい,1,後悔,後悔
こうかい,1,航海,航海
こうがい,1,郊外,郊外
こうがい,0,公害,公害
こうがく,0,工学,工學
ごうかく,0,合格,及格
こうかん,0,交換,交換、交易
こうぎ,0,講義,講義、授課
こうぎ,1,抗議,抗議
ごうぎ,1,合議,協議
こうきゅう,0,高級,高級
こうきょ,1,皇居,皇宮
こうきょう,0,公共,公共
こうきょう,0,好況,繁榮、景氣
こうぎょう,1,工業,工業
こうぎょう,0,興業,振興事業
こうぎょう,1,鉱業,礦業
こうくう,0,航空,航空
